location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#operation+name,#assessment+type,#affected+idps,#round+code,#date+start,#date+end
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,209125,34,2020-11-30,2020-11-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,209251,35,2020-12-31,2020-12-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,208334,36,2021-02-28,2021-02-28
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,209322,37,2021-06-30,2021-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,220886,41,2022-03-31,2022-03-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,232996,42,2022-07-31,2022-07-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,223910,43,2022-11-30,2022-11-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,223436,44,2023-02-28,2023-02-28
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,218555,45,2023-06-30,2023-06-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,218118,46,2023-09-30,2023-09-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,213239,47,2024-05-31,2024-05-31
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,196189,48,2024-09-30,2024-09-30
NGA,True,True,Adamawa,,NG002,Adamawa,,,1,Lake Chad Basin Crisis,SA,200211,49,2024-11-30,2024-11-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,1152,1,2014-12-01,2014-12-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,3293,2,2015-02-01,2015-02-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,2791,3,2015-04-01,2015-04-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,942,4,2015-06-01,2015-06-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,978,5,2015-08-01,2015-08-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,8820,6,2015-10-01,2015-10-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,1218,7,2015-12-01,2015-12-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,1572,8,2016-02-01,2016-02-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,1812,9,2016-04-30,2016-04-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,900,10,2016-06-30,2016-06-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,1118,11,2016-08-30,2016-08-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,1434,12,2016-10-01,2016-10-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,1872,13,2016-11-01,2016-11-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,1860,14,2017-01-01,2017-01-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,4176,15,2017-03-31,2017-03-31
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,4224,16,2017-04-30,2017-04-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,4100,17,2017-06-30,2017-06-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,4008,18,2017-08-01,2017-08-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,4068,19,2017-10-01,2017-10-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,4122,20,2017-12-01,2017-12-01
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,10608,21,2018-02-28,2018-02-28
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,12330,22,2018-04-30,2018-04-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,12756,23,2018-06-30,2018-06-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,13038,24,2018-08-30,2018-08-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,14088,25,2018-10-30,2018-10-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,13758,26,2019-01-30,2019-01-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,12102,27,2019-05-30,2019-05-30
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,12126,28,2019-08-31,2019-08-31
NGA,True,True,Adamawa,Demsa,NG002,Adamawa,NG002001,Demsa,2,Lake Chad Basin Crisis,BA,12120,29,2019-11-30,2019-11-30
